Owner_ID,Owner,Ownership Type
1,Mars,Megacorp
2,Unilever,Megacorp
3,Kraft-Heinz,Megacorp
4,Church & Dwight,Megacorp
5,Congo Brands,Founder owned/Private equity backed
6,Hain Celestial Group,Megacorp
7,Alessi family,Family owned
8,Harris family,Family owned
9,Kellogg's,Megacorp
10,The Hershey Company,Megacorp
11,Post,Megacorp
12,Next World Evergreen,Private Equity
13,Jess Sturzenegger,Female founder owned
14,Nature's Path,Founder Family Owned
15,Koch Industries,Megacorp
16,General Mills,Megacorp
17,General Mills,Megacorp
18,Kellogg's,Megacorp
19,GSK,Megacorp
20,Maxingvest AG,Megacorp
21,Britta Cox and Suveen Sahib,Female founder owned and her husband
22,Don Voltagio,Founder owned
23,Church & Dwight,Megacorp
24,Dr. Ali Syed,Founder owned
25,Jean-Francois Bernier,Privately owned
26,Nadya Okamoto & Nick Jain,Founder Owned
27,House of Cheatham,Privately owned
28,General Mills,Megacorp
29,Procter & Gamble,Megacorp
30,Johnson & Johnson,Megacorp
31,Johnson & Johnson,Megacorp
32,Unilever,Megacorp
33,Patrick K Roman,Founder owned
34,Unilever,Megacorp
35,Jennifer Carlson and Jill Vos,Female founder owned
36,Unibel,Megacorp (French)
37,Barilla,Megacorp
38,Monster Beverage Corp,Megacorp
39,Post,Megacorp
40,The Hershey Company,Megacorp
41,General Mills,Megacorp
42,Inspire Brands,Private Equity
43,Church & Dwight,Megacorp
44,Oetker Group,Family megacorp
45,Kellogg's,Megacorp
46,Beaverton Foods,Family owned
47,Unilever via Toni & Guy,Megacorp
48,Bernatello's Foods,Ramsay Family
49,Unilever,Megacorp
50,Conagra Brands,Megacorp
51,Mizkan Group,Megacorp
52,Main Post Partners,Private Equity
53,Unilever,Megacorp
54,Post,Megacorp
55,Tim McCollum,Founder owned
56,Harbin Pharmaceutical,Megacorp
57,Bigelow Family,Family owned
58,Glanbia Plc,Megacorp
59,Kao Corporation,Megacorp
60,Evan Hafer,Founder owned
61,Farmer's co-op,Co-op
62,Laura Modi & Sarah Hardy,Female founder owned
63,Coca-cola,Megacorp
64,Eleeo Brands,Private Equity
65,Charlie Investors,Private Equity
66,Daniel Giraudo,Family owned
67,Prestige Consumer Healthcare Inc,Megacorp
68,Procter & Gamble,Megacorp
69,Post,Megacorp
70,Koch Industries,Megacorp
71,Dare foods,Family owned
72,Unilever,Megacorp
73,La Costena,Megacorp
74,Jeff & Ryan Gardner,Founder family owned
75,Clorox,Megacorp
76,Clorox,Megacorp
77,Ferrero Group,Family owned
78,Doss Cunningham with megacorp backing,Megacorp
79,Cardenas family,Family owned
80,J. M. Smucker,Megacorp
81,Gruma Corp.,Megacorp
82,Nestle,Megacorp
83,King juice company,Private Equity
84,Boiron,Megacorp
85,Janelle Evans,Female founder owned
86,PDC brands,Private Equity
87,PepsiCo,Megacorp
88,Johnson & Johnson,Megacorp
89,L'oreal,Megacorp
90,Pladis Global,Megacorp
91,Mike Broadwell & Mark Christensen,Founder owned
92,Catalina Crunch,Founder Owned
93,Gail Becker,Founder owned
94,Celcius holdings,Megacorp
95,Hain Celestial Group,Megacorp
96,Haleon,Megacorp
97,L'Oreal,Megacorp
98,Dr. Teresa Pursner & Nick Langan,Female founder owned
99,"Clarion Brands, LLC",Private Equity
100,Galderma- Owned by EQT + Abu Dhabi Investment Authority (ADIA),Megacorp
101,Procter & Gamble,Megacorp
102,Pergola family,Family owned PE backed
103,General Mills,Megacorp
104,PepsiCo,Megacorp
105,Kellanova,Megacorp
106,General Mills,Megacorp
107,Farouk Shami,uhhh.... founder big money owned?...
108,Nabisco,Megacorp
109,Kevin Buck,Founder owned
110,Timothy Moley,Founder owned
111,Butterfly Equity,Private Equity
112,General Mills,Megacorp
113,JAB holding company,Megacorp
114,Kraft-Heinz,Megacorp
115,Johnson & Johnson,Megacorp
116,Rachel Peters,Female Founder Owned
117,Simon Ostler,Founder owned I think
118,Unilever,Megacorp
119,Kellanova,Megacorp
120,Post,Megacorp
121,General Mills,Megacorp
122,SLG brands,Private Equity
123,Colgate Palmolive,Megacorp
124,General Mills,Megacorp
125,Molly Haward,Female Founder Owned
126,Kellogg's,Megacorp
127,Kellogg's,Megacorp
128,Kimberly-Clark,Megacorp
129,Lion Equity Partners,Private Equity
130,Kellogg's,Megacorp
131,Procter & Gamble,Megacorp
132,C. Cretors & Co,Family Owned
133,Kellogg's,Megacorp
134,Nature's Path,Founder Family Owned
135,Private Equity,Private Equity
136,Anheuser Busch,Megacorp
137,Mahisha Dellinger,Female founder owned
138,Michael Brown,Founder owned
139,Unilever,Megacorp
140,Topix Pharmaceuticals,Private Equity
