Owner,Brand,Ownership Type,Notes
Aurobindo Pharma USA inc.,Natrol,Mega Corporation,
Bayer,One A Day,Mega Corporation,
Brad Pyatt,Plant Fuel,Founder owned-mega corp backed,Has an equity partnership with GNC
Church & Dwight,Vitafusion,Mega Corporation,
Clifford Morgan,G Fuel,Founder owned,"Some controversy worth looking into. This brand was targetting e-sports from the start, not athletics"
Congo Brands,Prime,Private Equity,Founded via Congo Brands by Logan Paul and KSI- YouTube celebrities. Judge the brand accordingly.
Dan Lourenco & Ryan Hughes,Ghost,"Megacorporate-backed, founder owned",Entered into a big deal with Anheuser-Busche Inbev back in 2020 when they launched the energy drinks
Doss Cunningham with megacorp backing,C4,Megacorp backed,"Doss Cunningham is primary owner, CEO and board chair, but Keurig-Dr Pepper purchased a 30% stake in the company."
Doss Cunningham with megacorp backing,Xtend,Megacorp backed,Owned by Nutrabolt
Glanbia Plc,Optimum Nutrition (ON),Megacorp,At least the top shareholders aren't Blackrock and Vanguard
Glanbia Plc,Bio-engineered Supplements & Nutrition (BSN),Megacorp,At least the top shareholders aren't Blackrock and Vanguard
Glanbia Plc,IsoPure,Megacorp,At least the top shareholders aren't Blackrock and Vanguard
Haleon,Centrum,Mega Corporation,Previously owned by Pfizer and GSK
Harbin Pharmaceutical,GNC,Megacorp,The biggest pharma company in China- mostly state owned.
Harbin Pharmaceutical,Beyond Raw,Megacorp,This is just a GNC brand. See notes on GNC.
Jeff & Ryan Gardner,Bucked Up,Founder family owned,"Founded by twin brothers. These guys are social media marketers, not nutritionists, but hey. They're not the CCP."
Jim Stoppani,Jym,Founder owned,"Dude is a Dr. and is yoked, and has A+ mission statements."
Kroger,Simple Truth,Mega Corporation,
Lion Equity Partners,Country Life,Private Equity,
"Mat Fraser, Heber Cannon and Marston Sawyers (aka the “Buttery Bros”), Paul Haverland",Podium,Founder owned,"Mat Fraser is an effing legend, whether you love or hate crossfit, I dare you to hate Mat. This company was founded out of crossfit- with crossfit style training in mind (IE all around fitness)"
Michael Bischoff Jr.,Glaxon,Founder owned,"Partnered with GNC for distribution, does not appear to affect ownership."
Michael Bitensky,Goli Nutrition,Founder owned,
Michael McClane,Kaged,Founder owned I think?,One of the founders left on this message in 2023. Some controversy... it's a little unclear how the ownership structure changed. It doesn't appear to have been bought out?
Nestle,Nature's Bounty,Mega Corporation,
Nestle,Garden of Life,Mega Corporation,
Otsuka Pharmaceutical Co.,Nature Made,Mega Corporation,
Pfizer,Emergen-C,Mega Corporation,
Post Holdings Inc,Dymatize,Megacorp,You know... the cereal company...
Procter & Gamble and Helen of Troy,Vicks,Mega Corporation,
Randy Buresh and Pam Martin-Buresh,Oregon's Wild Harvest,Family Owned,
Schwabe Group,Nature's Way,Mega Corporation,
Unilever,Olly Nutrition,Mega Corporation,
Unilever,Liquid IV,Megacorp,Acquired in 2020 for an undisclosed amount
WM Partners,Vega,Private Equity,Was founded by Danone- sold in 2021 to WM
