Brand,Owner,Ownership Type,Notes,Category,Subcategory
Lysol,Reckitt Benckiser,Megacorporation,,Household & Misc.,Household Cleaners
Old English wood cleaner,Reckitt Benckiser,Megacorporation,,Household & Misc.,Household Cleaners
Mop & Glo,Reckitt Benckiser,Megacorporation,,Household & Misc.,Household Cleaners
Easy-Off,Reckitt Benckiser,Megacorporation,,Household & Misc.,Household Cleaners
Lime-A-Way,Reckitt Benckiser,Megacorporation,,Household & Misc.,Household Cleaners
Arm & Hammer,Church & Dwight,Megacorporation,,Household & Misc.,Household Cleaners
Oxi Clean,Church & Dwight,Megacorporation,,Household & Misc.,Household Cleaners
Clean Shower,Church & Dwight,Megacorporation,,Household & Misc.,Household Cleaners
Orange Glo,Church & Dwight,Megacorporation,,Household & Misc.,Household Cleaners
Clorox,Clorox,Megacorporation,,Household & Misc.,Household Cleaners
Pine Sol,Clorox,Megacorporation,,Household & Misc.,Household Cleaners
409,Clorox,Megacorporation,,Household & Misc.,Household Cleaners
Liquid Plumr,Clorox,Megacorporation,,Household & Misc.,Household Cleaners
Fabuloso,Colgate-Palmolive,Megacorporation,,Household & Misc.,Household Cleaners
Ajax,Colgate-Palmolive,Megacorporation,,Household & Misc.,Household Cleaners
Murphy wood cleaner,Colgate-Palmolive,Megacorporation,,Household & Misc.,Household Cleaners
Weiman,The Carlyle Group,Megacorporation,,Household & Misc.,Household Cleaners
Windex,S. C. Johnson & Son,Megacorporation,"This is one of the richest families in America (net worth $37 billion), technically family owned private company, but they're so big they get to be a megacorp.",Household & Misc.,Household Cleaners
Ms. Meyer's Clean Day,S. C. Johnson & Son,Megacorporation,"This is one of the richest families in America (net worth $37 billion), technically family owned private company, but they're so big they get to be a megacorp.",Household & Misc.,Household Cleaners
Pledge,S. C. Johnson & Son,Megacorporation,"This is one of the richest families in America (net worth $37 billion), technically family owned private company, but they're so big they get to be a megacorp.",Household & Misc.,Household Cleaners
Scrubbing Bubbles,S. C. Johnson & Son,Megacorporation,,Household & Misc.,Household Cleaners
Drano,S. C. Johnson & Son,Megacorporation,,Household & Misc.,Household Cleaners
Xtra-Pine,Grupo Alen,Megacorporation,Big chemical corp from Mexico owned by Industrias AlEn S.A. de C.V. ,Household & Misc.,Household Cleaners
Pinalen,Grupo Alen,Megacorporation,Big chemical corp from Mexico owned by Industrias AlEn S.A. de C.V. ,Household & Misc.,Household Cleaners
Cloralen,Grupo Alen,Megacorporation,Big chemical corp from Mexico owned by Industrias AlEn S.A. de C.V. ,Household & Misc.,Household Cleaners
Mr. Clean,Procter & Gamble,Megacorporation,,Household & Misc.,Household Cleaners
Soft Scrub,Henkel,Megacorporation,,Household & Misc.,Household Cleaners
Comet,Centerbridge Partners,Private Equity,Originally created by Procter & Gamble- then sold several times now owned by KIK Custom Products Inc. which is owned by Centerbridge Partners ,Household & Misc.,Household Cleaners
Ecos Plant Powered,Vlahakis family,Family owned,,Household & Misc.,Household Cleaners
Simple Green,Bruce P. FaBrizio,Founder owned,"Owned via Sunshine Makers, Inc. Founded and owned by Bruce.",Household & Misc.,Household Cleaners
Brillo,Armaly Brands,Family owned,Fourth generation family owned by the Armaly family,Household & Misc.,Household Cleaners
Bar Keepers Friend,SerVaas laboratories inc.,Family owned,SerVaas Laboratories Inc (owned by SerVaas family) bought BKF in 1957 and have owned it ever since.,Household & Misc.,Household Cleaners
CLR,Jelmar LLC,Family owned,"Founded in 1967 by Manny Gurrerman, still owned by the Gutterman family",Household & Misc.,Household Cleaners
Lysol,Reckitt Benckiser,Megacorporation,,Household & Misc.,Laundry Detergent
Seventh Generation,Unilever,Megacorporation,,Household & Misc.,Laundry Detergent
Oxiclean,Church & Dwight,Megacorporation,,Household & Misc.,Laundry Detergent
Clorox,Clorox,Megacorporation,,Household & Misc.,Laundry Detergent
Signature Select,Albertsons,Megacorporation,,Household & Misc.,Laundry Detergent
Downy,Procter & Gamble,Megacorporation,,Household & Misc.,Laundry Detergent
Open Nature,Albertsons,Megacorporation,,Household & Misc.,Laundry Detergent
Bounce,Procter & Gamble,Megacorporation,,Household & Misc.,Laundry Detergent
Tide,Procter & Gamble,Megacorporation,,Household & Misc.,Laundry Detergent
Shout,S.C. Johnson & Sons,Megacorporation,,Household & Misc.,Laundry Detergent
Gain,Procter & Gamble,Megacorporation,,Household & Misc.,Laundry Detergent
Snuggle,Henkel,Megacorporation,,Household & Misc.,Laundry Detergent
Fabreze,Procter & Gamble,Megacorporation,,Household & Misc.,Laundry Detergent
Woolite,Reckitt Benckiser,Megacorporation,,Household & Misc.,Laundry Detergent
Persil,Henkel,Megacorporation,,Household & Misc.,Laundry Detergent
All,Henkel,Megacorporation,,Household & Misc.,Laundry Detergent
Arm & Hammer,Church & Dwight,Megacorporation,,Household & Misc.,Laundry Detergent
Ecos,Vlahakis Family,Family owned,"Now run by the daughter of the founder, Kelly Vlahakis-Hanks",Household & Misc.,Laundry Detergent
Planet,Stefan Jacob,Founder owned - Probably,"Very little info about this company online, which feels kind of weird... It was founded by Stefan Jacob and I was unable to find any indication that they had sold. But I'm not entirely sure honestly...",Household & Misc.,Laundry Detergent
Mozi Wash,Matt Cook,Founder owned,Super cool company- look them up on TikTok to follow along with the story.,Household & Misc.,Laundry Detergent
Nature Made,Otsuka Pharmaceutical Co.,Megacorporation,,Fitness,Vitamins
One A Day,Bayer,Megacorporation,,Fitness,Vitamins
Centrum,Haleon,Megacorporation,Previously owned by Pfizer and GSK,Fitness,Vitamins
Olly Nutrition,Unilever,Megacorporation,,Fitness,Vitamins
Vitafusion,Church & Dwight,Megacorporation,,Fitness,Vitamins
Nature's Bounty,Nestle,Megacorporation,,Fitness,Vitamins
Goli Nutrition,Michael Bitensky,Founder owned,,Fitness,Vitamins
Vicks,Procter & Gamble and Helen of Troy,Megacorporation,,Fitness,Vitamins
Nature's Way,Schwabe Group,Megacorporation,,Fitness,Vitamins
Emergen-C,Pfizer,Megacorporation,,Fitness,Vitamins
Simple Truth,Kroger,Megacorporation,,Fitness,Vitamins
Garden of Life,Nestle,Megacorporation,,Fitness,Vitamins
Natrol,Aurobindo Pharma USA inc.,Megacorporation,,Fitness,Vitamins
Country Life,Lion Equity Partners,Private Equity,,Fitness,Vitamins
Oregon's Wild Harvest,Randy Buresh and Pam Martin-Buresh,Family Owned,,Fitness,Vitamins
GNC,Harbin Pharmaceutical,Megacorporation,The biggest pharma company in China- mostly state owned.,Fitness,Supplements
Optimum Nutrition (ON),Glanbia Plc,Megacorporation,At least the top shareholders aren't Blackrock and Vanguard,Fitness,Supplements
Beyond Raw,Harbin Pharmaceutical,Megacorporation,This is just a GNC brand. See notes on GNC.,Fitness,Supplements
Dymatize,Post Holdings Inc,Megacorporation,You know... the cereal company...,Fitness,Supplements
Muscletech,Xiwang Foodstuffs,Megacorporation,"Owned via Iovate Health Sciences International which is owned by Xiwang, a Chinese mega corp focussed on seed oils for the most part.",Fitness,Supplements
Liquid IV,Unilever,Megacorporation,Acquired in 2020 for an undisclosed amount,Fitness,Supplements
Bio-engineered Supplements & Nutrition (BSN),Glanbia Plc,Megacorporation,At least the top shareholders aren't Blackrock and Vanguard,Fitness,Supplements
IsoPure,Glanbia Plc,Megacorporation,At least the top shareholders aren't Blackrock and Vanguard,Fitness,Supplements
C4,Doss Cunningham with megacorp backing,Megacorporation,"Doss Cunningham is primary owner, CEO and board chair, but Keurig-Dr Pepper purchased a 30% stake in the company.",Fitness,Supplements
Xtend,Doss Cunningham with megacorp backing,Megacorporation,Owned by Nutrabolt,Fitness,Supplements
Vega,WM Partners,Private Equity,Was founded by Danone- sold in 2021 to WM,Fitness,Supplements
Prime,Congo Brands,Private Equity,Founded via Congo Brands by Logan Paul and KSI- YouTube celebrities. Judge the brand accordingly.,Fitness,Supplements
Ghost,Dan Lourenco & Ryan Hughes,"Megacorporate-backed, founder owned",Entered into a big deal with Anheuser-Busche Inbev back in 2020 when they launched the energy drinks,Fitness,Supplements
Plant Fuel,Brad Pyatt,Founder owned-mega corp backed,Has an equity partnership with GNC,Fitness,Supplements
Kaged,Michael McClane,Founder owned - Probably,"One of the founders left on this message in 2023. Some controversy... it's a little unclear how the ownership structure changed. It doesn't appear to have been bought out? - https://www.thebarbell.com/kris-gethin-leaves-kaged-muscle/#:~:text=Gethin%2C%2048%2C%20a%20popular%20fitness,was%20editor%2Din%2Dchief.",Fitness,Supplements
Jym,Jim Stoppani,Founder owned,"Dude is a Dr. and is yoked, and has A+ mission statements.",Fitness,Supplements
Bucked Up,Jeff & Ryan Gardner,Founder family owned,"Founded by twin brothers. These guys are social media marketers, not nutritionists, but hey. They're not the CCP.",Fitness,Supplements
Glaxon,Michael Bischoff Jr.,Founder owned,"Partnered with GNC for distribution, does not appear to affect ownership.",Fitness,Supplements
G Fuel,Clifford Morgan,Founder owned,"Some controversy worth looking into. This brand was targetting e-sports from the start, not athletics - https://digiday.com/marketing/how-g-fuels-toxic-working-environment-made-the-energy-drink-brands-influencer-marketers-jump-ship/#:~:text=In%202019%2C%20G%20Fuel's%20own,its%20own%20numbers%2C%20at%20least.",Fitness,Supplements
Podium,"Mat Fraser, Heber Cannon and Marston Sawyers (aka the “Buttery Bros”), Paul Haverland ",Founder owned,"Mat Fraser is an effing legend, whether you love or hate crossfit, I dare you to hate Mat. This company was founded out of crossfit- with crossfit style training in mind (IE all around fitness)",Fitness,Supplements
Cheerios,General Mills,Megacorporation,,Food,Cereal
Kix,General Mills,Megacorporation,,Food,Cereal
Chex,General Mills,Megacorporation,,Food,Cereal
Cinnamon Toast Crunch,General Mills,Megacorporation,,Food,Cereal
Reeses Puffs,General Mills,Megacorporation,,Food,Cereal
Cocoa Puffs,General Mills,Megacorporation,,Food,Cereal
Trix,General Mills,Megacorporation,,Food,Cereal
Lucky Charms,General Mills,Megacorporation,,Food,Cereal
Cookie Crisp,General Mills,Megacorporation,,Food,Cereal
Golden Grahams,General Mills,Megacorporation,,Food,Cereal
Fiber One,General Mills,Megacorporation,,Food,Cereal
Wheeties,General Mills,Megacorporation,,Food,Cereal
Total,General Mills,Megacorporation,,Food,Cereal
Oatmeal Crisp,General Mills,Megacorporation,,Food,Cereal
Raisin Nut Bran,General Mills,Megacorporation,,Food,Cereal
Basic 4,General Mills,Megacorporation,,Food,Cereal
All-bran,Kellogg's,Megacorporation,,Food,Cereal
Honey Smacks,Kellogg's,Megacorporation,,Food,Cereal
Cracklin' Oat Bran,Kellogg's,Megacorporation,,Food,Cereal
Krave,Kellogg's,Megacorporation,,Food,Cereal
Corn Flakes,Kellogg's,Megacorporation,,Food,Cereal
Crispix,Kellogg's,Megacorporation,,Food,Cereal
Raisin Bran,Kellogg's,Megacorporation,,Food,Cereal
Corn Pops,Kellogg's,Megacorporation,,Food,Cereal
Mueslix,Kellogg's,Megacorporation,,Food,Cereal
